row_id,planet_name,planet_host,discovery_method_group,orbital_period_days,planet_mass_earth,cluster_numeric_id,cluster_label,hz_reported,hz_derived,flux_zone_reported,flux_zone_derived,giant_or_evolved_host_flag,compact_or_hot_subdwarf_host_flag,ultra_short_period_flag,high_mass_companion_flag,extreme_wide_period_flag
423,HATS-71 b,HATS-71,Transit,3.7955202,117.5971,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
424,HATS-72 b,HATS-72,Transit,7.3279474,39.85588,0,Low-mass short-period,0.0,0.0,too_hot,too_hot,False,False,False,False,False
425,HATS-8 b,HATS-8,Transit,3.583893,43.86054,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
428,HD 100655 b,HD 100655,Radial Velocity,157.57001,511.7063,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
429,HD 100777 b,HD 100777,Radial Velocity,383.70001,327.3649,2,Long-period giants,,1.0,,habitable_zone,False,False,False,False,False
430,HD 10180 c,HD 10180,Radial Velocity,5.75969,13.22173,0,Low-mass short-period,,0.0,,too_hot,False,False,False,False,False
431,HD 10180 d,HD 10180,Radial Velocity,16.357,12.01397,0,Low-mass short-period,,0.0,,too_hot,False,False,False,False,False
432,HD 10180 e,HD 10180,Radial Velocity,49.748,25.58532,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
433,HD 10180 f,HD 10180,Radial Velocity,122.744,22.94733,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
434,HD 10180 g,HD 10180,Radial Velocity,604.67,23.26516,3,Intermediate-mass moderate-period,,1.0,,habitable_zone,False,False,False,False,False
435,HD 10180 h,HD 10180,Radial Velocity,2205.0,65.66368,2,Long-period giants,,0.0,,too_cold,False,False,False,False,False
436,HD 101930 b,HD 101930,Radial Velocity,70.46,79.4575,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
437,HD 102117 b,HD 102117,Radial Velocity,20.8133,54.0311,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
438,HD 102195 b,HD 102195,Radial Velocity,4.11377,130.3103,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
439,HD 102272 b,HD 102272,Radial Velocity,127.58,1570.0802,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
440,HD 102329 b,HD 102329,Radial Velocity,778.09998,2593.4928,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
441,HD 102329 c,HD 102329,Radial Velocity,1123.0,483.1016,2,Long-period giants,,,,,False,False,False,False,False
442,HD 102365 b,HD 102365,Radial Velocity,122.1,16.0,3,Intermediate-mass moderate-period,,,,,False,False,False,False,False
443,HD 102843 b,HD 102843,Radial Velocity,3090.942,113.9,2,Long-period giants,,,,,False,False,False,False,False
